age,balance,day,campaign,pdays,previous,y
-805.099552,448.753613,-10.227197,-16.020914,-1531.242928,-0.857167,0
-1882.138838,1092.404205,-3.167949,-10.929471,-4279.572110,-2.917320,0
-371.553150,182.419487,-7.947347,-13.890886,-1327.138421,-1.372205,0
-667.801202,366.256441,-3.311009,-1.510445,-1264.663898,-3.428669,0
-31.121982,-50.131397,-3.016664,-4.020572,0.515038,-0.857167,0
-218.493761,90.452128,-10.524616,-20.508741,-730.950675,-3.259449,0
88.388982,-95.108261,-6.182535,-12.618026,-433.112926,-1.887243,0
-85.717869,6.005789,-3.973176,-4.612475,-125.488555,-1.714335,0
-119.417006,23.921007,-8.093481,-11.469814,-188.918935,-1.714335,0
124.709217,-125.098093,-7.727650,-15.189527,-0.279875,-1.887243,0
-4159.196588,2453.598734,-10.742235,-16.878082,-8034.571239,-0.857167,0
-139.430455,33.613034,-9.638595,-14.041316,-225.777129,-1.714335,0
-508.870547,263.761469,-7.578443,-10.612646,-950.083498,-1.714335,0
-232.655343,116.460766,-15.892616,-25.449755,-429.782947,-0.857167,1
2.174576,-37.472253,-14.642842,-25.034061,-432.704404,-1.372205,0
-106.982175,17.616040,-15.819052,-24.327323,-165.775418,-1.714335,0
-1827.699641,1032.861267,-16.113397,-21.817196,-3490.727378,-4.285837,0
-930.271356,515.797987,-9.272764,-17.761029,-2064.342423,-1.887243,0
83.955021,-79.611101,-12.287350,-19.449584,189.949012,-0.857167,0
37.439117,-58.661327,-3.312005,-6.176381,-191.431871,-1.372205,0
-20.306183,-32.130884,-10.153633,-14.898483,0.515038,-1.714335,0
-29.429916,-31.315325,-11.110145,-15.490386,-13.199639,-2.571502,0
-70.192633,-9.155880,-7.063404,-9.755479,-90.344696,-1.714335,0
-64.453474,-12.604315,-4.488214,-5.469643,-79.201521,-1.714335,0
-253.845997,122.193595,-16.775564,-24.919226,-464.926806,-2.571502,0
-2619.041641,1525.847013,-11.183709,-16.612818,-5042.200192,-1.714335,0
-305.865900,119.617937,-3.016664,-4.020572,-536.928859,-0.857167,0
-264.626056,80.838938,-7.727650,-15.189527,-650.667439,-1.887243,0
-375.692324,160.407252,-16.334090,-25.184491,-671.504126,-1.714335,0
-74.386502,-17.135650,-11.698747,-17.469985,-89.487528,-1.714335,0
-1885.091058,1053.345909,-8.093481,-11.469814,-3590.158785,-1.714335,1
-92.192935,19.229469,-15.230449,-22.347724,-146.060570,-2.571502,0
-49.663882,-38.990300,-11.257273,-17.735249,-35.485989,-0.857167,0
-1136.793502,645.722179,-16.039833,-20.694765,-2173.261237,-5.143004,1
-571.191740,286.041586,-8.019916,-10.347382,-1058.086578,-2.571502,1
-821.875380,444.833947,-7.652007,-11.735078,-1551.814943,-0.857167,0
-142.005205,-5.672070,-11.772311,-18.592416,-195.776274,-0.857167,1
-939.454715,527.149073,-7.652007,-11.735078,-1790.107453,-0.857167,1
-1502.916008,864.544141,-2.062231,-5.760687,-3549.096350,-1.887243,1
-172.835600,77.017537,-23.397671,-20.940263,-310.636692,-15.429011,0
-5230.245950,3098.316750,-7.434388,-15.365737,-10313.168602,-3.259449,0
-263.411116,116.274564,-6.548366,-8.898312,-473.498479,-1.714335,0
-520.642946,252.168906,-7.136969,-10.877911,-956.940837,-0.857167,0
-192.039578,78.056751,-8.019916,-10.347382,-338.923213,-2.571502,0
-990.224202,557.654458,-12.581695,-16.939456,-1888.681693,-3.428669,0
-403.211181,202.608184,-4.488214,-5.469643,-746.934848,-1.714335,0
-88.667116,-10.888259,-0.885026,-1.801490,-126.864449,-3.601578,0
-14.125726,-21.844876,-11.257273,-17.735249,0.515038,-0.857167,0
357.595299,-252.197201,-2.501626,-3.163405,728.250076,-0.857167,0
-2007.403834,1135.005273,-13.612766,-23.319727,-4015.210938,-1.372205,1
-396.515333,185.751946,-3.899612,-3.490044,-722.934164,-2.571502,1
-120.447170,29.206526,-11.183709,-16.612818,-194.919106,-1.714335,0
-42.379872,-18.867673,-15.819052,-24.327323,-42.343327,-1.714335,0
-655.794263,354.375412,-7.432309,-13.033719,-1348.022608,-1.372205,1
-1012.959794,546.816079,-8.534954,-11.204550,-1911.825210,-2.571502,0
-1378.132276,772.067009,-8.608519,-12.326981,-2625.845571,-1.714335,0
-66.292757,-26.665396,-2.501626,-3.163405,-69.772681,-0.857167,0
-969.107024,543.799344,-9.197121,-14.306580,-1846.680495,-0.857167,0
-63.864960,-3.624863,-13.832464,-22.021086,-86.058859,-0.857167,0
-374.662248,162.121587,-8.167045,-12.592245,-671.504126,-0.857167,0
205.949182,-171.578722,-5.444726,-6.061546,442.813365,-2.571502,0
-216.393760,56.524585,-4.046740,-5.734907,-355.209392,-0.857167,0
-2624.412803,1520.907898,-7.578443,-10.612646,-5045.628861,-1.714335,0
-623.653558,318.730460,-2.943100,-2.898141,-1160.946654,-1.714335,0
-7478.564235,4428.243266,-4.046740,-5.734907,-14462.468827,-0.857167,0
9.018960,-64.917441,-0.888099,-8.799443,-261.561435,-3.432358,0
-165.919059,63.528593,-14.862540,-23.735420,-289.207510,-0.857167,0
-211.685206,93.360935,-12.581695,-16.939456,-380.067243,-3.428669,0
-21.851297,-34.702386,-4.929688,-5.204378,0.515038,-2.571502,0
-176.146521,68.507239,-10.668671,-15.755650,-308.065190,-1.714335,0
114.665503,-112.063421,-6.919349,-14.508570,-93.736930,-3.259449,1
-23.249283,-35.029024,-3.016664,-4.020572,-1.199297,-0.857167,0
-2775.029196,1631.240125,-5.518290,-7.183977,-5355.066257,-1.714335,0
-203.738501,74.586473,-3.752483,-1.245181,-352.637890,-4.285837,0
-181.443854,43.690996,-8.167045,-12.592245,-294.350513,-0.857167,0
-1450.975364,808.835752,-8.093481,-11.469814,-2761.278005,-1.714335,0
120.283525,-120.105603,-7.358745,-11.911288,-302.113419,-2.229373,0
-282.247272,122.925935,-9.859376,-10.408757,-506.070837,-5.143004,0
-197.778473,60.505626,-3.016664,-4.020572,-332.065875,-0.857167,0
26.723929,-62.722692,-8.903859,-14.482789,-288.667102,-2.229373,0
-213.745446,96.932119,-8.682083,-13.449413,-386.067415,-0.857167,1
-33.844389,-49.662243,-14.273938,-21.755821,-3.770798,-1.714335,0
-93.296664,23.392556,-3.531702,-4.877740,-151.203574,-0.857167,0
21.148195,-73.372054,-3.018743,-6.352590,-800.076431,-2.744411,1
-600.329187,317.548731,-15.892616,-25.449755,-1126.659962,-0.857167,1
-674.202263,345.603286,-4.488214,-5.469643,-1256.092225,-1.714335,0
-409.906764,198.464863,-5.371162,-4.939114,-752.935019,-3.428669,0
-148.112891,48.163034,-16.334090,-25.184491,-250.634981,-1.714335,0
-207.491072,80.341145,-9.197121,-14.306580,-362.923897,-0.857167,0
-826.584552,456.996570,-11.183709,-16.612818,-1568.958290,-1.714335,0
-69.824812,-3.543723,-10.153633,-14.898483,-94.630532,-1.714335,0
-219.116608,91.993005,-11.625183,-16.347553,-389.496084,-2.571502,0
71.446626,-74.428566,-9.712159,-15.163747,167.662662,-0.857167,1
-1613.585202,932.207535,-8.093481,-11.469814,-3099.001921,-1.714335,0
-6251.782119,3689.951570,-7.872788,-8.102519,-12079.543731,-4.285837,0
-713.640736,380.966645,-1.397986,-0.326639,-1342.666122,-1.714335,0
-2417.288116,1404.621265,-8.093481,-11.469814,-4650.474736,-1.714335,0
-30.017001,-16.962968,4.467518,-24.850390,-294.280882,-11.157929,0
-1139.929462,642.939920,-5.887195,-10.462217,-2530.663566,-1.372205,0
-195.939277,81.566560,-2.501626,-3.163405,-347.494886,-0.857167,1
-19.276106,-30.416549,-3.531702,-4.877740,0.515038,-0.857167,0
32.430003,-63.817981,-0.963742,-12.253893,-611.602453,-4.462434,0
-2673.048485,1548.964531,-11.698747,-17.469985,-5139.060097,-1.714335,0
-1697.538435,953.485891,-7.578443,-10.612646,-3237.005857,-1.714335,0
-249.578300,110.296236,-7.136969,-10.877911,-448.640627,-0.857167,0
-163.350489,60.818607,-5.889273,-12.794235,-566.694551,-3.259449,0
-208.300456,81.994105,-5.959764,-6.918713,-365.495399,-2.571502,0
-230.962836,100.277570,-2.428062,-2.040973,-413.496768,-1.714335,0
-1526.614512,851.951070,-11.257273,-17.735249,-2906.139279,-0.857167,1
-14.640764,-22.702043,-13.170297,-18.919055,0.515038,-2.571502,0
-985.032258,567.367791,-15.895778,-25.447855,-2219.673679,-6.688118,1
-700.322693,353.131590,-17.143473,-23.531531,-1299.807757,-4.285837,0
-113.015768,30.574456,-9.932940,-11.531188,-185.490266,-4.285837,0
125.381627,-113.835784,-15.599354,-25.625964,-125.470562,-2.229373,0
-159.738514,66.814748,-15.156885,-21.225293,-283.207338,-3.428669,1
-236.554955,112.970722,-9.638595,-14.041316,-432.354449,-1.714335,1
-814.370502,454.324162,-10.153633,-14.898483,-1549.243442,-1.714335,0
-1826.964351,1072.084996,-10.227197,-16.020914,-3523.299735,-0.857167,0
-43.777858,-19.194312,-7.136969,-10.877911,-44.057662,-0.857167,0
-35.463332,-32.356617,-9.638595,-14.041316,-20.914144,-1.714335,0
-851.086391,475.218661,-11.257273,-17.735249,-1619.531160,-0.857167,0
-208.888970,73.014653,-11.036581,-14.367955,-358.638061,-3.428669,0
-1206.104888,687.368661,-11.257273,-17.735249,-2307.836503,-0.857167,0
82.704340,-91.692584,-8.608519,-12.326981,198.520685,-1.714335,0
193.453835,-175.737094,-2.139952,-11.547155,-89.855926,-4.804563,0
-222.206924,93.849855,-12.140221,-17.204721,-395.496255,-2.571502,1
-65.631031,11.435901,-8.167045,-12.592245,-101.487871,-0.857167,0
-282.615094,117.313777,-15.745487,-23.204892,-501.785000,-2.571502,0
94.466661,-94.093565,-0.812457,-5.344994,-343.765110,-2.402282,0
-2097.219085,1170.305586,-7.652007,-11.735078,-3993.027416,-0.857167,1
-96.018895,9.862003,-10.595107,-14.633219,-143.489068,-2.571502,0
-19.791145,-31.273716,-13.832464,-22.021086,0.515038,-0.857167,0
292.772391,-226.080636,-16.775564,-24.919226,613.389658,-2.571502,0
98.713784,-115.311628,-3.092307,-7.475022,-86.526397,-1.887243,0
-354.134113,181.286141,-5.518290,-7.183977,-658.646616,-1.714335,0
-17.730992,-27.845047,-18.835804,-21.348042,0.515038,-8.571673,0
49.596956,-63.633226,-2.577269,-6.617854,-544.555741,-1.887243,0
-18.246030,-28.702214,-3.016664,-4.020572,0.515038,-0.857167,0
400.712867,-301.437518,-2.501626,-3.163405,831.967320,-0.857167,1
-2818.661097,1623.624448,-10.668671,-15.755650,-5410.782131,-1.714335,0
-435.733113,224.482599,-7.063404,-9.755479,-812.079563,-1.714335,0
-17.215954,-26.987880,-12.213785,-18.327152,0.515038,-1.714335,0
-858.223184,450.341043,-15.892616,-25.449755,-1608.387985,-0.857167,0
-402.549014,205.710215,-10.153633,-14.898483,-748.649183,-1.714335,0
-164.962371,50.120790,-5.003252,-6.326810,-276.350000,-1.714335,0
-65.557291,-1.441375,-6.548366,-8.898312,-90.344696,-1.714335,0
-871.025924,458.033706,-13.758988,-13.898801,-1633.245837,-7.714506,0
-534.034377,264.881823,-13.023169,-16.674192,-986.941692,-4.285837,0
217.629240,-184.429976,-15.967264,-24.238269,-377.989547,-3.943707,0
-192.407399,72.444593,-5.444726,-6.061546,-334.637376,-2.571502,0
-61.142465,-11.093870,-3.973176,-4.612475,-75.772852,-1.714335,0
-214.407524,86.830236,-16.260526,-24.062059,-378.352909,-2.571502,0
86.015526,-104.181845,-0.956512,-0.591903,213.949696,-0.857167,0
-3606.765476,2102.998500,-3.973176,-4.612475,-6945.968767,-1.714335,0
-241.999593,99.909323,-13.832464,-22.021086,-428.925780,-0.857167,0
-154.734998,52.141998,-12.213785,-18.327152,-263.492491,-1.714335,0
-227.968099,72.812216,-0.369988,-0.944322,-562.368142,-3.601578,1
-14.392793,-55.516775,-14.056318,-25.386480,-328.258641,-4.116616,0
-36.714454,-9.438832,-15.377578,-24.592588,-42.343327,-0.857167,0
-742.704530,406.596368,-9.197121,-14.306580,-1406.096502,-0.857167,0
-27.075506,-23.396930,-2.501626,-3.163405,-16.628308,-0.857167,0
-2039.975413,1196.575055,-15.304014,-23.470156,-3933.882872,-1.714335,0
91.165995,-102.610025,-5.959764,-6.918713,219.949867,-2.571502,0
-454.642746,223.011686,-14.273938,-21.755821,-837.794582,-1.714335,0
57.532454,-67.234721,-9.714238,-17.495765,-143.768943,-2.744411,1
-945.561784,531.985203,-1.986588,-2.306238,-1802.964963,-0.857167,0
-261.203130,65.949269,-10.006504,-12.653620,-427.211445,-3.428669,0
-584.141697,298.489239,-15.819052,-24.327323,-1087.230267,-1.714335,0
-162.313440,41.529351,-3.531702,-4.877740,-265.206825,-0.857167,0
-521.820503,276.209122,-5.591855,-8.306409,-979.227187,-0.857167,0
-1337.958248,754.927819,-11.625183,-16.347553,-2553.843518,-2.571502,0
-36.125675,-21.458940,-15.304014,-23.470156,-31.200152,-1.714335,0
21.574070,-59.628345,-0.592759,-6.643635,-568.549048,-2.917320,0
-472.375438,246.499530,-9.197121,-14.306580,-883.224449,-0.857167,0
-3999.603767,2354.205793,-11.183709,-16.612818,-7721.705174,-1.714335,0
182.403942,-159.764582,-12.287350,-19.449584,399.097833,-0.857167,0
-2310.672150,1337.060029,-19.056497,-24.715337,-4440.468747,-6.000171,0
158.197519,-138.220095,-2.723402,-4.196782,-329.579657,-2.229373,0
-769.855125,419.410191,-5.076816,-7.449241,-1455.812206,-0.857167,0
68.377149,-84.250572,-8.903859,-14.482789,-61.289531,-2.229373,0
-91.089295,22.066235,-1.913024,-1.183806,-146.917738,-1.714335,0
-17.215954,-26.987880,-6.548366,-8.898312,0.515038,-1.714335,0
-3099.291656,1822.576767,-9.932940,-11.531188,-5981.655554,-4.285837,0
-23.985102,-32.253633,-6.106893,-9.163576,-4.627966,-0.857167,0
9.125345,-45.148596,-9.565031,-12.918884,53.659411,-2.571502,0
-888.832357,494.398825,-12.728823,-19.184319,-1689.818879,-1.714335,0
-409.253087,206.238528,-8.171202,-17.256281,-774.198670,-4.631654,0
170.786038,-145.784040,-0.002078,-2.332018,-157.575832,-1.887243,0
226.258048,-177.948353,-4.268516,-6.768284,-198.433060,-2.229373,0
502.840531,-367.468543,-8.608519,-12.326981,1034.258803,-1.714335,1
-25.971601,-41.559724,-14.494719,-18.123263,0.515038,-5.143004,0
-112.647858,29.186760,-20.233790,-21.674681,-183.775932,-10.286008,0
-621.887927,338.668963,-11.183709,-16.612818,-1175.518498,-1.714335,0
-893.835697,495.071868,-9.638595,-14.041316,-1697.533385,-1.714335,0
-4081.203119,2425.401665,-3.458138,-3.755308,-7899.138805,-1.714335,0
-47.309384,-38.071758,-16.775564,-24.919226,-32.914487,-2.571502,0
-2470.559493,1452.962805,-16.334090,-25.184491,-4767.906656,-1.714335,0
-20.747656,-31.865619,-11.698747,-17.469985,-0.342129,-1.714335,0
-367.598844,171.877066,-1.986588,-2.306238,-669.789791,-0.857167,0
-1570.438366,856.117064,-6.697573,-13.475193,-3325.599783,-1.887243,1
-390.796552,195.148723,-1.032155,-4.046353,-895.633313,-1.887243,0
-699.145577,364.090641,-3.973176,-4.612475,-1307.522263,-1.714335,0
-1087.865938,612.823632,-8.464464,-17.080072,-2350.971054,-3.259449,1
-508.047819,259.767224,-10.816883,-15.666596,-1192.069798,-3.943707,0
-216.541417,96.278842,-11.257273,-17.735249,-389.496084,-0.857167,1
-23.911449,-38.131055,-10.153633,-14.898483,0.515038,-1.714335,0
-918.558142,502.926811,-5.076816,-7.449241,-1739.534582,-0.857167,0
-676.033822,372.369732,-3.827043,-7.033548,-1402.027836,-1.372205,0
266.070814,-204.203543,-0.736814,-1.890544,28.429473,-1.372205,0
-618.061439,306.037308,-20.601699,-20.286985,-1142.088974,-12.000342,0
-4058.319870,2396.485787,-8.019916,-10.347382,-7841.708596,-2.571502,0
140.905141,-113.830185,-13.170297,-18.919055,300.523593,-2.571502,0
63.768320,-82.647941,-7.873783,-12.768455,-562.405476,-2.229373,0
-5104.391722,3000.529866,-10.227197,-16.020914,-9851.765916,-0.857167,0
94.991954,-93.242560,-7.946352,-9.224951,217.378365,-3.428669,0
-186.594587,63.118736,-2.428062,-2.040973,-318.351198,-1.714335,1
-646.389502,335.891494,-6.548366,-8.898312,-1208.090856,-1.714335,0
-187.995834,77.960292,-6.108971,-11.495594,-1016.516482,-2.744411,0
-160.621109,39.345863,-9.565119,-5.919031,-260.920989,-8.571673,0
-202.561120,64.545964,-12.140221,-17.204721,-342.351882,-2.571502,0
-18.319330,-50.824206,-17.290602,-25.776394,19.372719,-2.571502,0
-1798.930544,1037.741085,-15.598359,-20.960029,-3453.869184,-4.285837,0
-187.109537,55.261716,-14.273938,-21.755821,-312.351027,-1.714335,0
-111.911951,19.411515,-9.785812,-9.286325,-174.347091,-6.000171,0
-775.078982,402.716233,-10.742235,-16.878082,-1448.954867,-0.857167,0
-196.454316,80.709393,-3.531702,-4.877740,-347.494886,-0.857167,0
72.329662,-81.958948,-9.049993,-12.061717,175.377167,-2.571502,0
2.320710,-39.893325,-10.007500,-17.319556,-432.362275,-1.372205,0
-73.577383,2.210950,-9.712159,-15.163747,-104.916540,-0.857167,0
27.527286,-57.372231,-7.878935,-22.098426,-31.932361,-3.947396,0
-90.205995,-6.463707,-15.524795,-19.837597,-121.202719,-5.143004,0
-1597.839186,913.413306,-5.959764,-6.918713,-3060.429393,-2.571502,0
220.661949,-183.918945,-0.672559,-14.762120,-209.064885,-7.721883,0
43.684243,-78.746644,-10.600259,-23.963190,-46.868465,-4.289525,0
-1382.988752,795.984476,-13.832464,-22.021086,-2653.274925,-0.857167,0
-34.286039,-35.397272,-15.230449,-22.347724,-16.628308,-2.571502,0
-1369.407932,784.324396,-0.002078,-2.332018,-3223.861994,-1.887243,0
-121.035508,6.227367,-3.899612,-3.490044,-176.061426,-2.571502,0
-3156.609332,1830.184134,-4.414650,-4.347211,-6069.943785,-2.571502,0
-748.369861,390.167675,-13.096733,-17.796624,-1400.096331,-3.428669,0
-18.687504,-28.436950,-14.421154,-17.000831,-0.342129,-6.000171,0
-1797.679511,1021.823154,-11.110145,-15.490386,-3438.440172,-2.571502,0
-1684.220833,960.650103,-19.718752,-20.817514,-3224.148347,-10.286008,0
94.403264,-88.222305,-2.943100,-2.898141,212.235361,-1.714335,0
-294.019760,118.333225,-8.093481,-11.469814,-518.928346,-1.714335,0
165.142575,-141.226472,-14.127804,-24.176894,-128.759519,-1.372205,0
61.072213,-85.694490,-7.063404,-9.755479,162.519658,-1.714335,0
-17.215954,-26.987880,-14.788976,-22.612989,0.515038,-1.714335,0
-236.039652,92.828329,-6.548366,-8.898312,-414.353935,-1.714335,0
104.227917,-112.791687,-1.329573,-8.534179,-88.586549,-4.289525,0
-191.083066,78.648654,-5.959764,-6.918713,-338.066046,-2.571502,0
-1054.237902,596.117770,-9.417902,-10.674021,-2012.970951,-4.285837,0
-210.066086,62.055602,-6.548366,-8.898312,-350.923555,-1.714335,0
-1336.619608,735.457348,-1.400064,-2.658657,-3051.711080,-3.601578,0
-122.433670,19.900434,-5.003252,-6.326810,-189.776103,-1.714335,0
-465.679415,215.643584,-13.611771,-18.653791,-847.223422,-3.428669,0
-201.457656,81.382436,-12.728823,-19.184319,-355.209392,-1.714335,0
